Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
7.028175419875703e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977833244904e-16,9.1098650722387207e-19,3.2625539900909756e-29,9.1098650722425629e-19,2.3581602906347288e-29,7.0766827344876126e-30,7.4929720548147205e-57,4.9357502249221891e-49,3.134970425518621e-59,2.2501559917363576e-86,3.7297303079802541e-89,1.7332750269565033e-97,1.6507449228022129e-99,3.7207678400382356e-100,3.1620632739404963e-67,1.3133099598954707e-68,3.2756137000244901e-96,1.1280511768349829e-87,1.7948411956858813e-84,1.0638180278546583e-97,2.2165127978889831e-113,-6.1516483408593285e-184,-6.6422500630006028e-155,-2.5860831001502508e-163,-4.274589214364278e-140,0.0,-1.8879474891641578e-126
1.967889117565197e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137933075105e-16,2.5507622202790717e-18,1.9705826100147541e-28,2.5507622202813924e-18,1.4243288155677134e-28,4.2743163717052892e-29,2.3559103005203993e-55,5.8597226878638147e-48,7.0128034668897487e-58,2.5443804565574896e-84,2.8780270067854646e-87,2.4247812874322603e-95,2.3093271442701315e-97,5.205207775322835e-98,1.8211865678280485e-65,7.5639929497709353e-67,6.6759203478011373e-94,1.1807400905683842e-85,1.8786743715293243e-82,2.0149502343790055e-95,8.1454785967580419e-111,1.1994384300992303e-180,1.2404287411924637e-151,8.6904518901297691e-160,4.1460844797479391e-137,4.479306698299165e-220,1.3292588059756876e-123
4.49803226872045e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.8101745813269314e-15,5.8303136465983893e-18,9.4875070031816284e-28,5.8303136466095651e-18,6.8575301255308435e-28,2.0578993393011544e-28,5.2559062767153707e-54,5.7531105244166972e-47,1.3856117989765658e-56,2.3022090356698478e-82,3.1366146107837565e-85,5.2717472297448354e-93,5.0207473980013202e-95,1.1316730674599877e-95,8.1669649734107448e-64,3.3920119147425576e-65,1.2084636423619626e-91,1.0606769595716805e-83,1.6876419842650241e-80,3.6211580124291234e-93,2.9488072761799057e-108,2.0102384807026017e-176,5.163472579907608e-148,7.2380864557724214e-156,8.5607942779479148e-134,5.6167434571565265e-215,1.3243321303987459e-120
9.558318571030956e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209853175954e-15,1.23894165000727e-17,4.1434435674125082e-27,1.2389416500121508e-17,2.9948635694833258e-27,8.9873870739582128e-28,9.8437307539403743e-53,5.0885611807071338e-46,2.4656221979319614e-55,1.7442726351180742e-80,2.5659454944262072e-83,8.6382421363344381e-91,8.2269902168496554e-93,1.8543580269369381e-93,3.0726163362180885e-62,1.2761596554368283e-63,1.8327750573209899e-89,7.9982870961968359e-82,1.2726065209930393e-78,5.4670636554036467e-91,8.948676811188622e-106,2.4074231987595872e-172,1.4615788693935326e-144,4.0978749023286599e-152,1.2058129151021693e-130,7.1293539165811206e-210,9.2266942127931548e-118
1.967889117565197e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137932921375e-15,2.5507622210364031e-17,1.7298061255435062e-26,2.5507622210567785e-17,1.2502965864340315e-26,3.7520571868683794e-27,1.7002596845604875e-51,4.2772424051301288e-45,4.1586323363515469e-54,1.2126261554974987e-78,1.8467295933382892e-81,1.244440762269538e-88,1.185204967038178e-90,2.6714439717191085e-91,1.0639494806573886e-60,4.4189356937272726e-62,2.5495333519700154e-87,5.5456336455619449e-80,8.8236499398306156e-77,7.5856612999415599e-89,2.4903250412237177e-103,2.3782609792991911e-168,3.4948023421258579e-141,1.9597610778916642e-148,1.4376634407885294e-127,6.3985051356183034e-205,5.4746515172824038e-115
3.992003638489399e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.6065299409214077e-14,5.1744033644317511e-17,7.0668224446735484e-26,5.1744033645149926e-17,5.1078695188008688e-26,1.532837787904069e-26,2.8250068725433335e-50,3.5067419470190087e-44,6.8305664830748465e-53,8.0850280584464098e-77,1.2517734310618134e-79,1.687750664755072e-86,1.6074400191963261e-88,3.6231589183882975e-89,3.5398269110602658e-59,1.4702077234924125e-60,3.4005864631028179e-85,3.6923702249158247e-78,5.8749234460539836e-75,1.0104358828539342e-86,6.6441470519461801e-101,2.1371711865997684e-164,7.7212456071878964e-138,8.6597486193897502e-145,1.5857610096798164e-124,4.8845075460816123e-200,3.0128354645775211e-112
8.040232680337805e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870640949381e-14,1.0421685656570774e-16,2.8565226208971612e-25,1.0421685656907249e-16,2.0646825285090983e-25,6.1959754220794818e-26,4.6054741225364783e-49,2.8398508762118254e-43,1.107264385990477e-51,5.2808011963773042e-75,8.2422381012720867e-78,2.2229971858031561e-84,2.1172878680406171e-86,4.7723525144084859e-87,1.1548703819802881e-57,4.7965603628636407e-59,4.442805763103921e-83,2.4100151736452968e-76,3.8345685299791303e-73,1.3192272548775539e-84,1.7362141438897687e-98,1.8331236041743815e-160,1.6417823246045365e-134,3.6827073235339948e-141,1.6843738313934778e-121,3.4509842292749561e-195,1.5986654539260838e-109
1.6136690764034616e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013103985666e-14,2.0916250262242128e-16,1.1485951824120663e-24,2.0916250263595073e-16,8.3019976487694426e-25,2.4913744692994724e-25,7.4378527686896456e-48,2.2857595763768221e-42,1.7832155585340532e-50,3.4141817449029936e-73,5.3501068492397517e-76,2.8860599854657384e-82,2.7490039436509416e-84,6.1962362651480396e-85,3.7313878279666432e-56,1.5497693097962404e-57,5.745158280266084e-81,1.5575942766024545e-74,2.4782811848353224e-71,1.705364654867425e-82,4.4904861277979937e-96,1.53647995318317e-156,3.4257289721090653e-131,1.5368671361580819e-137,1.755960120024524e-118,2.3475979460198715e-190,8.3318941477979903e-107
3.2329606931428233e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629802832098e-13,4.1905379559158063e-16,4.6063804031612767e-24,4.1905379564583981e-16,3.3294723808337392e-24,9.9915259401887727e-25,1.1956130319861345e-46,1.8341789581276779e-41,2.8624571781526386e-49,2.1961754493221162e-71,3.4482839783535099e-74,3.7199923894273154e-80,3.543807161681625e-82,7.9877173221175588e-83,1.1998047866577622e-54,4.9831877015628422e-56,7.3913948623937579e-79,1.0017493840687724e-72,1.59387530397533e-69,2.1936534480200517e-80,1.1554615420752162e-93,1.2731431844458812e-152,7.0815149108273957e-128,6.3538941729126729e-134,1.8131297924942791e-115,1.5673770776180998e-185,4.3038968921812798e-104
6.471543926621548e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.604388678700426e-13,8.3883638495282868e-16,1.8449548364749375e-23,8.3883638517014842e-16,1.3335256021196614e-23,4.001821947423628e-24,1.9174376131299371e-45,1.4695765298702617e-40,4.5873993168581487e-48,1.409115678517026e-69,2.2146811776479213e-72,4.7772318077034453e-78,4.5521898231094382e-80,1.0260604976444896e-80,3.8486179845558639e-53,1.5984587777839039e-54,9.4851256513185018e-77,6.4269077479646325e-71,1.0225754560654302e-67,2.8148022437851254e-78,2.9655555057352195e-91,1.0489101157833629e-148,1.4570509488688592e-124,2.6146769526381008e-130,1.862119223068205e-112,1.0367622193875391e-180,2.2133664707083595e-101
